timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,user_agent,url,label
2025-10-23 11:57:05,218.119.167.58,191.216.4.197,37916,3389,UDP,119747,395933,python-urllib/3.9,https://app.company.in/wp-login.php?id=492,malicious
2025-10-21 11:08:21,169.208.82.104,110.52.171.16,6971,443,TCP,94942,420654,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,https://portal.example.org/dashboard,benign
2025-10-27 07:35:38,198.119.85.128,39.88.166.145,15303,25,TCP,44727,205369,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 Safari/605.1.15,https://webmail.corp/inbox,benign
2025-10-30 01:53:03,176.28.218.203,175.15.183.111,46250,8443,TCP,783056,830254,masscan/1.3.0,https://webmail.corp/phpmyadmin?id=123,malicious
2025-10-30 09:01:19,53.146.63.35,17.245.197.208,10912,80,TCP,82319,123685,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,https://portal.example.org/api/v1/status,benign
2025-10-06 02:16:49,32.74.170.202,95.84.96.51,64628,53,TCP,68048,470033,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 Safari/605.1.15,https://app.company.in/status,benign
2025-10-11 03:11:43,212.88.233.151,237.82.85.92,50465,3306,TCP,493683,452221,python-urllib/3.9,https://webmail.corp/phpmyadmin?id=123,malicious
2025-10-07 03:48:30,10.170.40.137,194.243.184.123,34310,443,UDP,55407,399253,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,https://app.company.in/status,benign
2025-10-06 09:54:09,187.110.23.81,41.160.100.53,35792,80,UDP,41301,402739,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,https://webmail.corp/inbox,benign
2025-10-08 01:01:41,80.40.236.239,250.142.18.73,13562,23,UDP,573985,775187,curl/8.4.0,https://webmail.corp/shell?id=369,malicious
2025-10-21 17:11:55,243.33.130.92,122.42.207.119,36461,25,TCP,98185,143776,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,https://portal.example.org/dashboard,benign
2025-10-24 07:43:54,100.83.75.175,56.62.172.122,2717,5900,TCP,25732,387945,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 Safari/605.1.15,https://app.company.in/assets/logo.png,benign
2025-10-18 00:25:24,175.159.190.236,196.175.133.72,51730,22,TCP,221181,1865312,masscan/1.3.0,https://api.service.io/backup.sql?id=369,malicious
2025-10-29 07:52:49,81.65.153.164,35.54.216.233,17042,8080,TCP,118644,393784,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,https://intranet.local/home,benign
2025-10-16 18:01:30,237.175.153.212,50.64.208.181,16624,443,TCP,81576,345956,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,https://portal.example.org/api/v1/status,benign
2025-10-01 04:36:00,205.41.189.64,80.21.36.207,56682,445,UDP,1257073,1691761,masscan/1.3.0,https://webmail.corp/phpmyadmin?id=123,malicious
2025-10-12 11:34:32,146.188.198.68,216.192.87.109,56650,443,TCP,76656,400640,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,https://app.company.in/status,benign
2025-10-14 09:30:29,112.138.134.83,152.59.36.251,57295,53,TCP,83728,381487,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 Safari/605.1.15,https://app.company.in/assets/logo.png,benign
2025-10-26 10:16:08,161.94.88.135,182.136.145.63,59503,23,TCP,194262,1844191,curl/8.4.0,https://api.service.io/backup.sql?id=369,malicious
2025-10-12 09:43:46,107.160.85.75,214.77.109.248,1406,443,UDP,48168,320436,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 Safari/605.1.15,https://intranet.local/home,benign
2025-10-28 17:40:50,221.171.243.204,223.35.94.237,37697,80,TCP,92494,441263,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,https://portal.example.org/api/v1/status,benign
2025-10-25 07:20:46,196.36.87.87,191.147.137.110,35196,8443,UDP,557215,2154782,sqlmap/1.5,https://app.company.in/wp-login.php?id=492,malicious
2025-10-08 18:20:35,148.146.95.55,232.188.51.188,29899,53,TCP,31217,106466,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,https://app.company.in/status,benign
2025-10-23 10:44:54,34.78.50.253,80.220.44.69,21536,80,TCP,19939,417312,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 Safari/605.1.15,https://app.company.in/assets/logo.png,benign
2025-10-17 11:16:17,124.171.180.74,50.3.6.141,42286,8080,TCP,818480,1752648,sqlmap/1.5,https://internal.bank.local/admin?id=567,malicious
2025-10-24 07:43:59,67.77.189.135,106.7.50.1,44192,5900,TCP,45234,242321,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 Safari/605.1.15,https://app.company.in/status,benign
2025-10-26 05:48:25,43.190.132.74,70.71.113.14,63892,8080,TCP,43786,437473,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 Safari/605.1.15,https://app.company.in/status,benign
2025-10-07 03:00:02,218.165.146.98,60.186.87.82,56171,3389,UDP,358098,491163,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),https://api.service.io/backup.sql?id=369,malicious
2025-10-10 07:37:54,153.177.141.177,88.108.163.60,31860,80,TCP,93650,358902,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 Safari/605.1.15,https://intranet.local/home,benign
2025-10-05 11:59:29,74.27.125.18,70.98.14.16,27854,8080,TCP,10340,220675,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 Safari/605.1.15,https://portal.example.org/dashboard,benign
2025-10-02 22:16:33,100.143.9.136,158.181.193.159,49167,3306,TCP,99063,497209,curl/8.4.0,https://webmail.corp/phpmyadmin?id=123,malicious
2025-10-03 07:03:43,197.54.43.38,105.173.222.35,58661,53,UDP,16896,356802,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,https://portal.example.org/api/v1/status,benign
2025-10-05 14:04:36,143.165.149.107,219.46.127.78,11396,53,TCP,10570,239662,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 Chrome/119.0.0.0 Safari/537.36,https://app.company.in/status,benign
2025-10-08 05:01:36,135.80.208.21,52.76.206.49,59655,3389,TCP,35669,388712,python-urllib/3.9,https://internal.bank.local/admin?id=567,malicious
2025-10-13 10:37:41,47.17.20.227,176.9.146.137,37214,8080,TCP,21964,332669,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,https://app.company.in/status,benign
2025-10-13 17:48:00,22.244.63.44,200.141.246.154,6171,25,TCP,30555,433701,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,https://portal.example.org/dashboard,benign
